,A,B
0,6ix9ine,Tupac Shakur
1,6ix9ine,YG (rapper)
2,6ix9ine,Fetty Wap
3,6ix9ine,ZillaKami
4,6ix9ine,Casanova (rapper)
5,6ix9ine,Meek Mill
6,6ix9ine,The Notorious B.I.G.
7,6ix9ine,50 Cent
8,6ix9ine,Lil Tjay
0,9th Prince,RZA
1,9th Prince,Islord
2,9th Prince,Hell Razah
0,22Gz,Casanova (rapper)
1,22Gz,Pop Smoke
2,22Gz,Sheff G
3,22Gz,Don Q (rapper)
4,22Gz,Fivio Foreign
0,38 Spesh,The Alchemist (musician)
1,38 Spesh,Styles P
2,38 Spesh,Jadakiss
3,38 Spesh,Fred the Godson
4,38 Spesh,AZ (rapper)
5,38 Spesh,N.O.R.E.
6,38 Spesh,Kool G Rap
7,38 Spesh,DJ Premier
8,38 Spesh,Pete Rock
9,38 Spesh,Conway the Machine
10,38 Spesh,Benny the Butcher
0,The 45 King,Apache (rapper)
1,The 45 King,Queen Latifah
2,The 45 King,Jay-Z
0,50 Cent,Dr. Dre
1,50 Cent,Nate Dogg
2,50 Cent,Kurupt
3,50 Cent,The Game (rapper)
4,50 Cent,Spider Loc
5,50 Cent,40 Glocc
6,50 Cent,Lloyd Banks
7,50 Cent,Tony Yayo
8,50 Cent,Jam Master Jay
9,50 Cent,Jay-Z
10,50 Cent,Big Pun
11,50 Cent,Nas
12,50 Cent,Sha Money XL
13,50 Cent,Mase
14,50 Cent,Cardiak
15,50 Cent,Swizz Beatz
16,50 Cent,Pop Smoke
17,50 Cent,Big Daddy Kane
18,50 Cent,KRS-One
19,50 Cent,Rakim
20,50 Cent,The Notorious B.I.G.
21,50 Cent,Ja Rule
22,50 Cent,Meek Mill
23,50 Cent,Jadakiss
24,50 Cent,Fat Joe
25,50 Cent,Sean Combs
26,50 Cent,N.O.R.E.
27,50 Cent,Cam'ron
28,50 Cent,Beanie Sigel
0,60 Second Assassin (rapper),Ol' Dirty Bastard
1,60 Second Assassin (rapper),Ghostface Killah
2,60 Second Assassin (rapper),Masta Killa
3,60 Second Assassin (rapper),Hell Razah
4,60 Second Assassin (rapper),RZA
5,60 Second Assassin (rapper),9th Prince
6,60 Second Assassin (rapper),Ill Bill
0,88-Keys,Prince Paul (producer)
1,88-Keys,Q-Tip (musician)
2,88-Keys,Pete Rock
3,88-Keys,Large Professor
4,88-Keys,Mos Def
5,88-Keys,Talib Kweli
6,88-Keys,Consequence (rapper)
7,88-Keys,Mac Miller
0,Sammy Adams,Asher Roth
1,Sammy Adams,Statik Selektah
0,Adeem (rapper),Alias (musician)
1,Adeem (rapper),Sage Francis
2,Adeem (rapper),Sole (hip hop artist)
0,Aesop Rock,El-P
1,Aesop Rock,Dub-L
2,Aesop Rock,Percee P
3,Aesop Rock,Mr. Lif
4,Aesop Rock,Blockhead (music producer)
0,Afu-Ra,Big Shug
1,Afu-Ra,DJ Premier
2,Afu-Ra,GZA
3,Afu-Ra,Masta Killa
4,Afu-Ra,Easy Mo Bee
5,Afu-Ra,Guru (rapper)
6,Afu-Ra,Big Daddy Kane
7,Afu-Ra,RZA
0,Akir,Diabolic (rapper)
1,Akir,Pharoahe Monch
2,Akir,Jean Grae
3,Akir,Statik Selektah
0,Akrobatik,King T
1,Akrobatik,Mr. Lif
2,Akrobatik,Reks
0,Alias (musician),B. Dolan
1,Alias (musician),Sage Francis
0,Hoodie Allen,Kyle (musician)
1,Hoodie Allen,Skizzy Mars
2,Hoodie Allen,Wiz Khalifa
0,Amil,Beanie Sigel
1,Amil,Jay-Z
2,Amil,Memphis Bleek
3,Amil,AZ (rapper)
4,Amil,DJ Kay Slay
5,Amil,Funkmaster Flex
6,Amil,Ja Rule
7,Amil,Jaz-O
8,Amil,Queen Pen
9,Amil,Lady May (rapper)
10,Amil,Remy Ma
0,Antoinette (rapper),Rakim
1,Antoinette (rapper),Sweet Tee
2,Antoinette (rapper),MC Lyte
0,Aone Beats,Dr. Dre
1,Aone Beats,Mistah F.A.B.
2,Aone Beats,Warren G
3,Aone Beats,Casey Veggies
4,Aone Beats,Berner (rapper)
5,Aone Beats,B-Real
6,Aone Beats,Dizzy Wright
7,Aone Beats,40 Glocc
8,Aone Beats,Meek Mill
9,Aone Beats,Just Blaze
10,Aone Beats,French Montana
11,Aone Beats,Prodigy (rapper)
12,Aone Beats,Uncle Murda
13,Aone Beats,AZ (rapper)
14,Aone Beats,Havoc (musician)
15,Aone Beats,Styles P
16,Aone Beats,N.O.R.E.
17,Aone Beats,Tone Trump
18,Aone Beats,Young Chris
19,Aone Beats,Cassidy (rapper)
20,Aone Beats,Young Noble
21,Aone Beats,Hussein Fatal
0,Apache (rapper),Tupac Shakur
1,Apache (rapper),Queen Latifah
2,Apache (rapper),Fat Joe
0,Apathy (rapper),Xzibit
1,Apathy (rapper),B-Real
2,Apathy (rapper),Locksmith (rapper)
3,Apathy (rapper),Diabolic (rapper)
4,Apathy (rapper),Louis Logic
5,Apathy (rapper),Slaine (rapper)
6,Apathy (rapper),Ill Bill
7,Apathy (rapper),DJ Premier
8,Apathy (rapper),Nas
9,Apathy (rapper),Harry Fraud
10,Apathy (rapper),Chris Webby
11,Apathy (rapper),O.C. (rapper)
12,Apathy (rapper),Pharoahe Monch
13,Apathy (rapper),Pete Rock
14,Apathy (rapper),Buckwild (music producer)
0,AR-Ab,French Montana
1,AR-Ab,Swizz Beatz
2,AR-Ab,Cassidy (rapper)
3,AR-Ab,Meek Mill
0,AraabMuzik,Dr. Dre
1,AraabMuzik,The Alchemist (musician)
2,AraabMuzik,ASAP Twelvyy
3,AraabMuzik,Azealia Banks
4,AraabMuzik,Cam'ron
5,AraabMuzik,Joe Budden
6,AraabMuzik,Swizz Beatz
7,AraabMuzik,Cardi B
8,AraabMuzik,Dave East
9,AraabMuzik,ASAP Rocky
10,AraabMuzik,Fabolous
11,AraabMuzik,Hell Rell
12,AraabMuzik,Vado (rapper)
13,AraabMuzik,DJ Premier
14,AraabMuzik,Jadakiss
15,AraabMuzik,Busta Rhymes
16,AraabMuzik,50 Cent
0,Arkatech Beatz,Spider Loc
1,Arkatech Beatz,Big Pun
2,Arkatech Beatz,Nas
3,Arkatech Beatz,Prodigy (rapper)
4,Arkatech Beatz,Jadakiss
5,Arkatech Beatz,Cuban Link
6,Arkatech Beatz,Masta Killa
7,Arkatech Beatz,RZA
8,Arkatech Beatz,Meek Mill
9,Arkatech Beatz,DJ Drama
10,Arkatech Beatz,Sheek Louch
0,M. K. Asante,Snoop Dogg
1,M. K. Asante,Bishop Lamont
2,M. K. Asante,Ras Kass
3,M. K. Asante,Talib Kweli
0,Asheru,Talib Kweli
1,Asheru,Pete Rock
0,The Audible Doctor,J57 (rapper)
1,The Audible Doctor,50 Cent
2,The Audible Doctor,Joell Ortiz
3,The Audible Doctor,Consequence (rapper)
4,The Audible Doctor,Freddie Foxxx
5,The Audible Doctor,Reks
0,Awkwafina,Dumbfoundead
0,AZ (rapper),Dr. Dre
1,AZ (rapper),Nas
2,AZ (rapper),Foxy Brown (rapper)
3,AZ (rapper),Jay-Z
4,AZ (rapper),Pete Rock
5,AZ (rapper),Buckwild (music producer)
6,AZ (rapper),DJ Premier
7,AZ (rapper),Statik Selektah
8,AZ (rapper),Ghostface Killah
0,Apani B. Fly,Mos Def
1,Apani B. Fly,Talib Kweli
2,Apani B. Fly,Pharoahe Monch
3,Apani B. Fly,MF Doom
4,Apani B. Fly,Jean Grae
0,DJ Babu,Evidence (musician)
1,DJ Babu,Vince Staples
2,DJ Babu,Aloe Blacc
3,DJ Babu,Pharoahe Monch
4,DJ Babu,Action Bronson
0,Bahamadia,Talib Kweli
1,Bahamadia,Guru (rapper)
2,Bahamadia,Princess Superstar
3,Bahamadia,Queen Latifah
4,Bahamadia,Mr. Lif
0,Marty Baller,ASAP Ferg
1,Marty Baller,Smoke DZA
2,Marty Baller,ASAP Rocky
3,Marty Baller,Jay-Z
0,Charli Baltimore,Irv Gotti
1,Charli Baltimore,Ja Rule
2,Charli Baltimore,Cam'ron
3,Charli Baltimore,Big Pun
4,Charli Baltimore,Hussein Fatal
0,Afrika Bambaataa,Busy Bee Starski
1,Afrika Bambaataa,Keef Cowboy
2,Afrika Bambaataa,Disco King Mario
3,Afrika Bambaataa,Melle Mel
0,Bodega Bamz,Salaam Remi
1,Bodega Bamz,ASAP Ferg
2,Bodega Bamz,Joell Ortiz
3,Bodega Bamz,Funkmaster Flex
4,Bodega Bamz,Crystal Caines
5,Bodega Bamz,Statik Selektah
6,Bodega Bamz,6ix9ine
7,Bodega Bamz,Termanology
0,Azealia Banks,Styles P
1,Azealia Banks,RZA
2,Azealia Banks,Fetty Wap
0,Lloyd Banks,Dr. Dre
1,Lloyd Banks,The Game (rapper)
2,Lloyd Banks,50 Cent
3,Lloyd Banks,Tony Yayo
4,Lloyd Banks,Sha Money XL
5,Lloyd Banks,Swizz Beatz
6,Lloyd Banks,Fabolous
7,Lloyd Banks,Busta Rhymes
0,MC Paul Barman,Celestaphone
1,MC Paul Barman,Prince Paul (producer)
2,MC Paul Barman,MF Doom
3,MC Paul Barman,MC Lyte
0,Mark Batson,Dr. Dre
1,Mark Batson,Snoop Dogg
2,Mark Batson,50 Cent
3,Mark Batson,Jay-Z
4,Mark Batson,Nas
5,Mark Batson,Busta Rhymes
6,Mark Batson,ASAP Rocky
7,Mark Batson,Swizz Beatz
8,Mark Batson,Jadakiss
9,Mark Batson,French Montana
10,Mark Batson,Remy Ma
11,Mark Batson,Pusha T
12,Mark Batson,Teyana Taylor
0,The Beat Bully,The Game (rapper)
1,The Beat Bully,Snoop Dogg
2,The Beat Bully,Meek Mill
3,The Beat Bully,Jahlil Beats
4,The Beat Bully,French Montana
5,The Beat Bully,Young Chris
6,The Beat Bully,Fabolous
7,The Beat Bully,Mac Miller
8,The Beat Bully,Jadakiss
9,The Beat Bully,Sean Combs
10,The Beat Bully,Swizz Beatz
11,The Beat Bully,Wiz Khalifa
0,Jahlil Beats,Kid Ink
1,Jahlil Beats,Problem (rapper)
2,Jahlil Beats,Ab-Soul
3,Jahlil Beats,Dizzy Wright
4,Jahlil Beats,Casey Veggies
5,Jahlil Beats,The Game (rapper)
6,Jahlil Beats,Jay Park
7,Jahlil Beats,Beanie Sigel
8,Jahlil Beats,Bobby Shmurda
9,Jahlil Beats,Meek Mill
10,Jahlil Beats,Sean Combs
11,Jahlil Beats,Fabolous
12,Jahlil Beats,50 Cent
13,Jahlil Beats,Lloyd Banks
14,Jahlil Beats,The Beat Bully
15,Jahlil Beats,Jay-Z
16,Jahlil Beats,Busta Rhymes
17,Jahlil Beats,French Montana
18,Jahlil Beats,Juelz Santana
19,Jahlil Beats,Styles P
20,Jahlil Beats,Vado (rapper)
21,Jahlil Beats,Wiz Khalifa
22,Jahlil Beats,ASAP Rocky
23,Jahlil Beats,Joey Badass
24,Jahlil Beats,Action Bronson
25,Jahlil Beats,Smoke DZA
26,Jahlil Beats,Jae Millz
27,Jahlil Beats,Swizz Beatz
28,Jahlil Beats,Young Chris
29,Jahlil Beats,Cory Gunz
30,Jahlil Beats,Jadakiss
31,Jahlil Beats,Pusha T
32,Jahlil Beats,N.O.R.E.
33,Jahlil Beats,Dave East
0,Beedie (rapper),Mac Miller
1,Beedie (rapper),Wiz Khalifa
2,Beedie (rapper),Method Man
3,Beedie (rapper),Redman (rapper)
4,Beedie (rapper),Buckwild (music producer)
5,Beedie (rapper),Statik Selektah
6,Beedie (rapper),Sean Price
0,Benny the Butcher,The Alchemist (musician)
1,Benny the Butcher,Hit-Boy
2,Benny the Butcher,Snoop Dogg
3,Benny the Butcher,38 Spesh
4,Benny the Butcher,DJ Kay Slay
5,Benny the Butcher,Harry Fraud
6,Benny the Butcher,Smoke DZA
7,Benny the Butcher,Dave East
8,Benny the Butcher,Westside Gunn
9,Benny the Butcher,Conway the Machine
10,Benny the Butcher,Black Thought
11,Benny the Butcher,Pusha T
12,Benny the Butcher,Jadakiss
13,Benny the Butcher,Busta Rhymes
0,Benzino,Coi Leray
0,Big Body Bes,Knxwledge
1,Big Body Bes,Earl Sweatshirt
2,Big Body Bes,MC Eiht
3,Big Body Bes,The Alchemist (musician)
4,Big Body Bes,Action Bronson
5,Big Body Bes,Statik Selektah
6,Big Body Bes,Roc Marciano
7,Big Body Bes,Termanology
8,Big Body Bes,Mac Miller
9,Big Body Bes,Harry Fraud
0,Big Daddy Kane,Tupac Shakur
1,Big Daddy Kane,The Alchemist (musician)
2,Big Daddy Kane,The Game (rapper)
3,Big Daddy Kane,Ice Cube
4,Big Daddy Kane,Ice-T
5,Big Daddy Kane,Biz Markie
6,Big Daddy Kane,Marley Marl
7,Big Daddy Kane,Kool G Rap
8,Big Daddy Kane,Jay-Z
9,Big Daddy Kane,KRS-One
10,Big Daddy Kane,DJ Babu
11,Big Daddy Kane,DJ Premier
12,Big Daddy Kane,Black Thought
13,Big Daddy Kane,Rakim
14,Big Daddy Kane,Busta Rhymes
15,Big Daddy Kane,Joell Ortiz
16,Big Daddy Kane,MF Doom
17,Big Daddy Kane,Kool Moe Dee
18,Big Daddy Kane,RZA
0,Big Pun,Fat Joe
1,Big Pun,Cuban Link
2,Big Pun,The Notorious B.I.G.
3,Big Pun,Big L
4,Big Pun,Shaquille O'Neal
5,Big Pun,Easy Mo Bee
6,Big Pun,Heavy D
7,Big Pun,Kool G Rap
8,Big Pun,KRS-One
0,Big Shug,Guru (rapper)
1,Big Shug,DJ Premier
2,Big Shug,Sean Price
3,Big Shug,Termanology
4,Big Shug,M-Dot
0,Bkorn,Chinx
1,Bkorn,Wiz Khalifa
2,Bkorn,Fabolous
3,Bkorn,French Montana
4,Bkorn,Meek Mill
0,Black Child,Irv Gotti
1,Black Child,Ja Rule
2,Black Child,Jam Master Jay
3,Black Child,Jay-Z
4,Black Child,50 Cent
5,Black Child,Tony Yayo
6,Black Child,Busta Rhymes
7,Black Child,Memphis Bleek
8,Black Child,Hussein Fatal
0,Black Rob,Sean Combs
1,Black Rob,Spoonie Gee
2,Black Rob,Doug E. Fresh
3,Black Rob,Mase
4,Black Rob,The Notorious B.I.G.
5,Black Rob,Benzino
6,Black Rob,Buckwild (music producer)
7,Black Rob,Ed Lover
8,Black Rob,Sean Price
9,Black Rob,Easy Mo Bee
0,Black Thought,Fashawn
1,Black Thought,Murs (rapper)
2,Black Thought,Del the Funky Homosapien
3,Black Thought,Thurz
4,Black Thought,Jay Rock
