,Rapper,WordCount
0,6ix9ine,18657
1,9th Prince,714
2,22Gz,3385
3,38 Spesh,744
4,The 45 King,1711
5,50 Cent,31975
6,60 Second Assassin (rapper),814
7,88-Keys,1685
8,Sammy Adams,3566
9,Adeem (rapper),2226
10,Aesop Rock,5896
11,Afu-Ra,1090
12,Akir,1113
13,Akrobatik,1438
14,Alias (musician),1386
15,Hoodie Allen,6018
16,Amil,2386
17,Antoinette (rapper),1627
18,Aone Beats,4041
19,Apache (rapper),730
20,Apathy (rapper),3173
21,AR-Ab,3288
22,AraabMuzik,2820
23,Arkatech Beatz,1316
24,M. K. Asante,2655
25,Asheru,1002
26,The Audible Doctor,2390
27,Awkwafina,8087
28,AZ (rapper),2817
29,Apani B. Fly,1106
30,DJ Babu,1233
31,Bahamadia,1850
32,Marty Baller,1461
33,Charli Baltimore,1290
34,Afrika Bambaataa,7152
35,Bodega Bamz,1177
36,Azealia Banks,13395
37,Lloyd Banks,5457
38,MC Paul Barman,1718
39,Mark Batson,3517
40,The Beat Bully,1792
41,Jahlil Beats,3604
42,Beedie (rapper),2116
43,Benny the Butcher,3528
44,Benzino,1992
45,Big Body Bes,1274
46,Big Daddy Kane,4032
47,Big Pun,4521
48,Big Shug,1504
49,Bkorn,1357
50,Black Child,1517
51,Black Rob,2175
52,Black Thought,6396
53,Memphis Bleek,2567
54,Blockhead (music producer),1891
55,Action Bronson,5324
56,Bronx Style Bob,1307
57,Foxy Brown (rapper),9875
58,Tommy Brown (record producer),2138
59,Ron Browz,1495
60,Buckshot (rapper),1736
61,Buckwild (music producer),2194
62,Joe Budden,6412
63,Dai Burger,1884
64,Cage (rapper),4296
65,Crystal Caines,912
66,Call Me Ace,2433
67,Cam'ron,6638
68,Canibus,4723
69,Don Cannon,2758
70,Capella Grey,5397
71,Capital Steez,3257
72,Capone (rapper),912
73,Cappadonna,1533
74,Kid Capri,1264
75,Cardi B,31659
76,Cardiak,2510
77,Casanova (rapper),2924
78,Cassidy (rapper),3353
79,Grandmaster Caz,2119
80,Cazwell,2418
81,Lil' Cease,1767
82,John Cena,40972
83,Ceschi,2999
84,DJ Charlie Chase,770
85,Chinx,5028
86,DJ Chuck Chillout,759
87,Chyskillz,2748
88,CJ (rapper),2181
89,Clams Casino (musician),2571
90,Sean Combs,20487
91,Consequence (rapper),1960
92,Conway the Machine,2210
93,Cool C,2217
94,Cordae,9230
95,Cousin Stizz,1216
96,Keef Cowboy,736
97,Jay Critch,1923
98,Cuban Link,879
99,D-Nice,1580
100,Daddy-O (rapper),1586
101,Danger Mouse (musician),5829
102,Danny Boy (rapper),7734
103,Dash (rapper),3188
104,Desiigner,3883
105,Diabolic (rapper),849
106,Kosha Dillz,3042
107,Flipp Dinero,3159
108,Disco King Mario,948
109,DJ Disco Wiz,1005
110,DMX,18620
111,Tim Dog,2328
112,B. Dolan,1627
113,Don Q (rapper),2923
114,MF Doom,13036
115,Dot da Genius,3589
116,Drag-On,1803
117,DJ Drama,5214
118,Dub-L,1893
119,Dutch ReBelle,2795
120,DVLP,3789
121,Smoke DZA,2096
122,E.D.I. Mean,2454
123,East Flatbush Project,606
124,Dave East,5078
125,Ed O.G.,1584
126,El-P,4309
127,Eric B.,2087
128,Esoteric (rapper),2406
129,Eve (rapper),9292
130,Eyenine,1721
131,Fabolous,6820
132,Mickey Factz,2542
133,Fat Joe,9237
134,Hussein Fatal,1859
135,Felly,2926
136,ASAP Ferg,3632
137,Grandmaster Flash,4487
138,CJ Fly,1898
139,Focus...,1990
140,Q Da Fool,772
141,Fivio Foreign,2418
142,Freddie Foxxx,1876
143,Njena Reddd Foxxx,1311
144,Sage Francis,3157
145,Harry Fraud,4607
146,Fred the Godson,1328
147,Freekey Zekey,1753
148,Frenchie (rapper),3044
149,Fresh Kid Ice,6624
150,Doug E. Fresh,3260
151,Funkmaster Flex,3772
152,Ty Fyffe,1552
153,G Koop,2671
154,Heather B. Gardner,1503
155,Mic Geronimo,849
156,GFMBryyce,82
157,Ghostface Killah,5819
158,Godfather Don,831
159,Irv Gotti,1883
160,Jean Grae,3291
161,Grafh,845
162,Dame Grease,2211
163,MF Grimm,2916
164,Cory Gunz,3466
165,Guru (rapper),3188
166,GZA,3980
167,Half a Mill,677
168,Sleepy Hallow,5264
169,Charles Hamilton (rapper),9891
170,Andre Harrell,2076
171,Havoc (musician),2236
172,Emile Haynie,3458
173,Heavy D,2937
174,Hell Rell,1676
175,Samuel T. Herring,4742
176,Chad Hugo,1487
177,DJ Hurricane,1977
178,Ice Spice,5053
179,Ill Bill,2281
180,Inspectah Deck,2732
181,Islord,645
182,J.I the Prince of N.Y,3065
183,J57 (rapper),3694
184,Ja Rule,13816
185,Jadakiss,4812
186,Ms. Jade,721
187,Mike Jaggerr,1305
188,Jam Master Jay,3464
189,Jasiri X,2362
190,Jay-Z,27321
191,Jaz-O,4139
192,MC Jazzy Jeff,486
193,DJ Jazzy Joyce,670
194,MC Jin,7277
195,Jipsta,6091
196,Joey Badass,6764
197,Chilla Jones,2225
198,Serius Jones,1316
199,JPEGMafia,5830
200,Junglepussy,2687
201,Just Blaze,2578
202,Just-Ice,591
203,Ka$hdami,1302
204,Kangol Kid,1358
205,Kastro (rapper),1214
206,DJ Kay Slay,4856
207,Kemba (rapper),2247
208,Jamie Kennedy,3338
209,Wiz Khalifa,7981
210,Killa Sin,1119
211,Kirk Knight,1417
212,Tate Kobang,1783
213,Kool G Rap,4787
214,Kool Moe Dee,2136
215,KRS-One,6809
216,Talib Kweli,7456
217,Big L,6594
218,Coke La Rock,1729
219,Scott La Rock,1125
220,Lady B,1306
221,Lady Crush,1176
222,Al Sherrod Lambert,2516
223,Lamiere,1166
224,Knero Lapaé,3851
225,Larry Larr,492
226,Sabor Latino,2065
227,Lee on the Beats,2570
228,HeeSun Lee,898
229,Trip Lee,2663
230,Le1f,2451
231,Johan Lenox,1019
232,Coi Leray,4733
233,Alrad Lewis,1127
234,Rob Lewis (record producer),491
235,Mr. Lif,1505
236,Like (record producer),2374
237,Lil Dicky,3450
238,Lil Mama,6482
239,Lil Peep,19986
240,Lil Tjay,4360
241,Lil' Kim,24825
242,Lin Que,968
243,Ex-plicit linez,1491
244,Dusty Locane,3056
245,Nicholas Loftin,1510
246,DJ Logic,1211
247,Sheek Louch,922
248,Louis Logic,1055
249,Ed Lover,1935
250,Jan Lucanus,7368
251,Joyner Lucas,5992
252,MC Lyte,13758
253,M-Dot,3091
254,Remy Ma,8091
255,China Mac,1931
256,Mach-Hommy,2397
257,Craig Mack,3154
258,Kellee Maize,2570
259,Malik B.,905
260,Roc Marciano,1057
261,Biz Markie,7675
262,Marley Marl,2013
263,Brother Marquis,3835
264,Skizzy Mars,2186
265,Theo Martins,812
266,Mase,3978
267,Masta Killa,1664
268,Mathematics (producer),1723
269,Ivan Matias,1396
270,Lady May (rapper),1582
271,Darryl McDaniels,4262
272,McGruff (rapper),1023
273,Megahertz (record producer),2041
274,Melle Mel,4323
275,Method Man,9474
276,Mike D,1847
277,Mikey D,1948
278,Derrick Milano,1521
279,Meek Mill,19229
280,Mac Miller,10968
281,Jae Millz,1458
282,Mims (rapper),2770
283,Andy Mineo,5440
284,Mr. Muthafuckin' eXquire,3113
285,Mr. Mixx,3516
286,Easy Mo Bee,1629
287,Pharoahe Monch,2402
288,French Montana,13383
289,Mos Def,12195
290,Ali Shaheed Muhammad,1369
291,Uncle Murda,2312
292,Keith Murray,2154
293,Myzery,2079
294,N.O.R.E.,3325
295,Nas,19251
296,ASAP Nast,3319
297,Necro (rapper),6090
298,Bishop Nehru,1400
299,Neo da Matrix,1141
300,Nine (rapper),1049
301,Nitty (musician),819
302,No Malice,3512
303,Young Noble,713
304,NOE (rapper),1482
305,Princess Nokia,6924
306,The Notorious B.I.G.,14743
307,O.C. (rapper),2197
308,Ol' Dirty Bastard,4947
309,Shaquille O'Neal,36135
310,Oompa (rapper),27
311,Joell Ortiz,2786
312,Styles P,3708
313,Prince Paul (producer),4501
314,Felicia Pearson,2061
315,Pepa (rapper),2977
316,Percee P,1067
317,Pete Rock,4452
318,Petey Pablo,2159
319,Thee Phantom,825
320,Phife Dawg,3146
321,Stelios Phili,2610
322,Jamal Phillips,1095
323,Phresher,2812
324,Pras,5055
325,DJ Premier,3670
326,Sean Price,1410
327,Prince Whipper Whip,309
328,Princess Superstar,3137
329,Prodigy (rapper),6834
330,Large Professor,2774
331,Prolyphic,1062
332,Pumpkinhead (rapper),1307
333,Pusha T,10766
334,Q-Tip (musician),8454
335,Queen Latifah,14108
336,Queen Pen,1507
337,Radamiz,3138
338,Rah Swish,2658
339,Rakim,7978
340,Kyle Rapps,2057
341,Hell Razah,3721
342,Oryn the Rebel,700
343,Red Café,1431
344,Redman (rapper),5486
345,Reks,964
346,Salaam Remi,12058
347,Moshe Reuven,3816
348,Busta Rhymes,11094
349,DJ Richie Rich,600
